effect,run_id,pair_group,left_config,right_config,n_paired_completed,left_correctness_mean,right_correctness_mean,delta_correctness_mean,delta_correctness_wilcoxon_p,delta_correctness_sig,left_faithfulness_mean,right_faithfulness_mean,delta_faithfulness_mean,delta_faithfulness_wilcoxon_p,delta_faithfulness_sig,left_answer_relevance_mean,right_answer_relevance_mean,delta_answer_relevance_mean,delta_answer_relevance_wilcoxon_p,delta_answer_relevance_sig,left_context_support_mean,right_context_support_mean,delta_context_support_mean,delta_context_support_wilcoxon_p,delta_context_support_sig,left_overall_mean,right_overall_mean,delta_overall_mean,delta_overall_wilcoxon_p,delta_overall_sig,left_answer_accuracy_mean,right_answer_accuracy_mean,delta_answer_accuracy_mean,left_context_sufficiency_rate_mean,right_context_sufficiency_rate_mean,delta_context_sufficiency_rate_mean,left_faithfulness_rate_mean,right_faithfulness_rate_mean,delta_faithfulness_rate_mean,left_contradiction_rate_mean,right_contradiction_rate_mean,delta_contradiction_rate_mean,left_retrieval_failure_rate_mean,right_retrieval_failure_rate_mean,delta_retrieval_failure_rate_mean,left_generation_failure_rate_mean,right_generation_failure_rate_mean,delta_generation_failure_rate_mean,left_overconfidence_rate_mean,right_overconfidence_rate_mean,delta_overconfidence_rate_mean,left_false_refusal_rate_mean,right_false_refusal_rate_mean,delta_false_refusal_rate_mean,left_context_tokens_est_mean,right_context_tokens_est_mean,delta_context_tokens_est_mean,delta_context_tokens_est_pct,left_latency_ms_mean,right_latency_ms_mean,delta_latency_ms_mean,delta_latency_ratio_pct,latency_source
chunking,run_20260520_181009_unknown_75120177,baseline_s -> optimized_s,baseline_s,optimized_s,625,72.4912,71.4048,-1.0864,0.623191,False,80.8272,80.8896,0.0624,0.834636,False,92.9568,93.2352,0.2784,0.870822,False,88.144,89.8944,1.7504,0.064317,False,76.1088,75.7376,-0.3712,0.969872,False,71.52,70.4,-1.12,90.24,91.36,1.12,76.32,79.04,2.72,21.6,20.32,-1.28,6.56,6.72,0.16,20.16,21.6,1.44,3.2,1.92,-1.28,1.44,1.12,-0.32,610.47,535.69,-74.78,-12.25,924.0,1167.0,243.0,26.3,per_sample
chunking,run_20260520_181009_unknown_75120177,baseline_s_rr -> optimized_s_rr,baseline_s_rr,optimized_s_rr,625,79.3536,76.5408,-2.8128,0.08116,False,84.6272,82.9376,-1.6896,0.15796,False,94.3968,94.1056,-0.2912,0.687338,False,94.7712,93.824,-0.9472,0.168346,False,82.7104,80.6832,-2.0272,0.197204,False,78.88,76.16,-2.72,95.68,95.04,-0.64,83.52,82.88,-0.64,17.92,18.88,0.96,3.36,3.04,-0.32,16.96,19.04,2.08,0.8,1.92,1.12,0.48,0.8,0.32,627.52,535.61,-91.91,-14.65,1051.6,1289.2,237.6,22.59,per_sample
chunking,run_20260520_181009_unknown_75120177,baseline_s_rr_grounded -> optimized_s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,625,78.248,76.792,-1.456,0.495056,False,87.2096,86.88,-0.3296,0.726378,False,96.7952,95.648,-1.1472,0.219775,False,96.592,94.368,-2.224,0.008224,True,81.656,79.8272,-1.8288,0.124366,False,77.6,75.68,-1.92,96.8,95.36,-1.44,85.76,82.08,-3.68,12.48,14.72,2.24,2.4,3.68,1.28,19.52,20.0,0.48,0.64,0.32,-0.32,3.52,4.16,0.64,627.52,535.61,-91.91,-14.65,1634.6,1207.9,-426.7,-26.1,per_sample
chunking,run_20260520_204251_unknown_0ae208b6,baseline_s -> optimized_s,baseline_s,optimized_s,625,73.048,70.9088,-2.1392,0.282682,False,79.9664,80.448,0.4816,0.790454,False,92.3648,92.0832,-0.2816,0.660948,False,87.8384,87.7888,-0.0496,0.809393,False,77.28,75.4096,-1.8704,0.060402,False,72.32,69.92,-2.4,88.64,89.92,1.28,76.8,77.92,1.12,19.84,18.88,-0.96,7.36,6.56,-0.8,17.6,20.48,2.88,4.32,2.4,-1.92,2.08,1.12,-0.96,610.47,535.69,-74.78,-12.25,915.87,1164.96,249.09,27.2,per_sample
chunking,run_20260520_204251_unknown_0ae208b6,baseline_s_rr -> optimized_s_rr,baseline_s_rr,optimized_s_rr,625,80.0208,77.136,-2.8848,0.059829,False,85.2784,83.136,-2.1424,0.132173,False,95.0432,94.9888,-0.0544,0.832761,False,94.3488,93.568,-0.7808,0.521671,False,83.2528,81.3696,-1.8832,0.107576,False,79.04,76.8,-2.24,95.68,95.2,-0.48,84.48,82.56,-1.92,17.6,18.56,0.96,2.72,3.04,0.32,17.12,18.56,1.44,1.28,2.08,0.8,0.32,1.92,1.6,627.52,535.61,-91.91,-14.65,1052.4,1289.5,237.1,22.53,per_sample
chunking,run_20260520_204251_unknown_0ae208b6,baseline_s_rr_grounded -> optimized_s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,625,78.3888,77.1088,-1.28,0.413949,False,87.856,86.9936,-0.8624,0.710262,False,96.848,96.5024,-0.3456,0.981729,False,95.7584,94.0896,-1.6688,0.133171,False,81.7408,80.2352,-1.5056,0.167977,False,77.76,75.84,-1.92,96.16,94.4,-1.76,84.96,83.36,-1.6,12.64,13.76,1.12,3.2,4.8,1.6,19.68,19.04,-0.64,0.64,1.44,0.8,4.32,4.0,-0.32,627.52,535.61,-91.91,-14.65,1637.27,1188.21,-449.06,-27.43,per_sample
chunking,run_20260520_225042_unknown_1e8f339e,baseline_s -> optimized_s,baseline_s,optimized_s,625,73.0144,70.3808,-2.6336,0.125389,False,79.8672,79.6992,-0.168,0.88798,False,91.3344,93.456,2.1216,0.049638,True,89.464,88.2,-1.264,0.262241,False,76.7952,75.04,-1.7552,0.412093,False,72.0,69.76,-2.24,91.68,89.92,-1.76,79.52,76.64,-2.88,18.56,18.56,0.0,4.8,5.28,0.48,20.64,21.6,0.96,2.4,2.4,0.0,1.92,1.12,-0.8,610.47,535.69,-74.78,-12.25,924.97,1169.12,244.15,26.4,per_sample
chunking,run_20260520_225042_unknown_1e8f339e,baseline_s_rr -> optimized_s_rr,baseline_s_rr,optimized_s_rr,625,78.9104,77.1456,-1.7648,0.194176,False,84.984,83.488,-1.496,0.360899,False,93.848,94.8416,0.9936,0.356185,False,94.032,94.9552,0.9232,0.203903,False,82.3408,81.0608,-1.28,0.22149,False,78.4,76.48,-1.92,95.68,96.64,0.96,83.04,82.08,-0.96,16.8,18.56,1.76,1.28,2.56,1.28,17.6,20.32,2.72,1.44,0.64,-0.8,1.12,0.96,-0.16,627.52,535.61,-91.91,-14.65,1061.68,1294.13,232.45,21.89,per_sample
chunking,run_20260520_225042_unknown_1e8f339e,baseline_s_rr_grounded -> optimized_s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,625,77.8608,77.2336,-0.6272,0.738707,False,87.7728,86.3296,-1.4432,0.432842,False,97.528,95.6928,-1.8352,0.02099,True,96.2048,95.648,-0.5568,0.295006,False,81.4784,80.4624,-1.016,0.295238,False,77.76,76.48,-1.28,96.8,96.8,0.0,85.44,82.88,-2.56,12.48,15.04,2.56,2.56,2.72,0.16,19.2,20.64,1.44,0.64,0.32,-0.32,3.52,5.28,1.76,627.52,535.61,-91.91,-14.65,1644.02,1185.4,-458.62,-27.9,per_sample
chunking,run_20260521_005823_unknown_4818b378,baseline_s -> optimized_s,baseline_s,optimized_s,625,72.7104,70.1344,-2.576,0.320585,False,78.6128,79.256,0.6432,0.467494,False,91.7312,91.6672,-0.064,0.631177,False,88.1408,87.7664,-0.3744,0.903861,False,76.3744,74.9136,-1.4608,0.455957,False,71.84,68.96,-2.88,89.44,88.64,-0.8,76.0,76.96,0.96,19.04,20.64,1.6,6.88,6.88,0.0,18.88,20.16,1.28,3.36,3.36,0.0,2.56,0.48,-2.08,610.47,535.69,-74.78,-12.25,913.27,1174.82,261.55,28.64,per_sample
chunking,run_20260521_005823_unknown_4818b378,baseline_s_rr -> optimized_s_rr,baseline_s_rr,optimized_s_rr,625,78.9424,76.9536,-1.9888,0.406113,False,84.0096,83.0432,-0.9664,0.505366,False,94.9104,94.7008,-0.2096,0.729582,False,94.712,93.28,-1.432,0.232984,False,82.432,80.6832,-1.7488,0.283903,False,78.72,76.32,-2.4,96.64,94.24,-2.4,83.84,82.08,-1.76,18.08,18.88,0.8,2.08,3.52,1.44,18.08,18.08,0.0,0.8,2.72,1.92,0.48,0.8,0.32,627.52,535.61,-91.91,-14.65,1053.95,1287.31,233.36,22.14,per_sample
chunking,run_20260521_005823_unknown_4818b378,baseline_s_rr_grounded -> optimized_s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,625,77.7616,76.8688,-0.8928,0.411413,False,86.1712,85.88,-0.2912,0.600673,False,96.6832,96.472,-0.2112,0.996306,False,96.208,93.696,-2.512,0.024433,True,81.04,80.4224,-0.6176,0.902666,False,77.12,76.0,-1.12,96.96,95.04,-1.92,83.84,83.36,-0.48,13.28,14.4,1.12,2.24,4.0,1.76,21.12,19.52,-1.6,0.16,1.28,1.12,5.76,3.2,-2.56,627.52,535.61,-91.91,-14.65,1652.58,1188.85,-463.73,-28.06,per_sample
chunking,run_20260521_031645_unknown_ecfe2405,baseline_s -> optimized_s,baseline_s,optimized_s,625,71.9152,70.048,-1.8672,0.413188,False,79.4656,80.208,0.7424,0.637429,False,92.4432,92.4736,0.0304,0.944035,False,88.0304,88.496,0.4656,0.399299,False,75.9536,74.512,-1.4416,0.323952,False,71.04,69.12,-1.92,90.24,89.92,-0.32,76.96,79.04,2.08,21.12,19.52,-1.6,6.08,7.04,0.96,19.68,21.28,1.6,3.84,3.52,-0.32,0.96,1.12,0.16,610.47,535.69,-74.78,-12.25,915.96,1171.96,256.0,27.95,per_sample
chunking,run_20260521_031645_unknown_ecfe2405,baseline_s_rr -> optimized_s_rr,baseline_s_rr,optimized_s_rr,625,78.288,76.3616,-1.9264,0.401976,False,83.824,82.6544,-1.1696,0.572501,False,95.1376,94.1488,-0.9888,0.260437,False,95.0256,92.9008,-2.1248,0.11267,False,82.112,80.1888,-1.9232,0.098212,False,78.08,75.52,-2.56,96.16,94.24,-1.92,81.76,81.92,0.16,17.76,18.56,0.8,2.4,3.36,0.96,18.56,19.04,0.48,1.28,2.08,0.8,0.32,0.64,0.32,627.52,535.61,-91.91,-14.65,1050.72,1298.92,248.2,23.62,per_sample
chunking,run_20260521_031645_unknown_ecfe2405,baseline_s_rr_grounded -> optimized_s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,625,76.4688,77.3856,0.9168,0.619355,False,86.1472,85.6576,-0.4896,0.652293,False,96.1664,96.384,0.2176,0.584978,False,95.2528,94.696,-0.5568,0.767152,False,80.1312,80.6224,0.4912,0.82195,False,76.32,76.32,0.0,95.84,95.84,0.0,84.0,83.84,-0.16,14.08,15.04,0.96,1.92,1.92,0.0,20.16,19.84,-0.32,0.64,1.44,0.8,4.8,2.88,-1.92,627.52,535.61,-91.91,-14.65,1650.72,1197.93,-452.79,-27.43,per_sample
