effect,run_id,pair_group,left_config,right_config,n_paired_completed,left_correctness_mean,right_correctness_mean,delta_correctness_mean,delta_correctness_wilcoxon_p,delta_correctness_sig,left_faithfulness_mean,right_faithfulness_mean,delta_faithfulness_mean,delta_faithfulness_wilcoxon_p,delta_faithfulness_sig,left_answer_relevance_mean,right_answer_relevance_mean,delta_answer_relevance_mean,delta_answer_relevance_wilcoxon_p,delta_answer_relevance_sig,left_context_support_mean,right_context_support_mean,delta_context_support_mean,delta_context_support_wilcoxon_p,delta_context_support_sig,left_overall_mean,right_overall_mean,delta_overall_mean,delta_overall_wilcoxon_p,delta_overall_sig,left_answer_accuracy_mean,right_answer_accuracy_mean,delta_answer_accuracy_mean,left_context_sufficiency_rate_mean,right_context_sufficiency_rate_mean,delta_context_sufficiency_rate_mean,left_faithfulness_rate_mean,right_faithfulness_rate_mean,delta_faithfulness_rate_mean,left_contradiction_rate_mean,right_contradiction_rate_mean,delta_contradiction_rate_mean,left_retrieval_failure_rate_mean,right_retrieval_failure_rate_mean,delta_retrieval_failure_rate_mean,left_generation_failure_rate_mean,right_generation_failure_rate_mean,delta_generation_failure_rate_mean,left_overconfidence_rate_mean,right_overconfidence_rate_mean,delta_overconfidence_rate_mean,left_false_refusal_rate_mean,right_false_refusal_rate_mean,delta_false_refusal_rate_mean,left_context_tokens_est_mean,right_context_tokens_est_mean,delta_context_tokens_est_mean,delta_context_tokens_est_pct,left_latency_ms_mean,right_latency_ms_mean,delta_latency_ms_mean,delta_latency_ratio_pct,latency_source
grounding,run_20260520_181009_unknown_75120177,baseline_s_rr -> baseline_s_rr_grounded,baseline_s_rr,baseline_s_rr_grounded,625,79.3536,78.248,-1.1056,0.374877,False,84.6272,87.2096,2.5824,0.091429,False,94.3968,96.7952,2.3984,0.000417,True,94.7712,96.592,1.8208,0.052139,False,82.7104,81.656,-1.0544,0.293372,False,78.88,77.6,-1.28,95.68,96.8,1.12,83.52,85.76,2.24,17.92,12.48,-5.44,3.36,2.4,-0.96,16.96,19.52,2.56,0.8,0.64,-0.16,0.48,3.52,3.04,627.52,627.52,0.0,0.0,1051.6,1634.6,583.0,55.44,per_sample
grounding,run_20260520_181009_unknown_75120177,optimized_s_rr -> optimized_s_rr_grounded,optimized_s_rr,optimized_s_rr_grounded,625,76.5408,76.792,0.2512,0.653175,False,82.9376,86.88,3.9424,0.007454,True,94.1056,95.648,1.5424,0.038909,True,93.824,94.368,0.544,0.310198,False,80.6832,79.8272,-0.856,0.113982,False,76.16,75.68,-0.48,95.04,95.36,0.32,82.88,82.08,-0.8,18.88,14.72,-4.16,3.04,3.68,0.64,19.04,20.0,0.96,1.92,0.32,-1.6,0.8,4.16,3.36,535.61,535.61,0.0,0.0,1289.2,1207.9,-81.3,-6.31,per_sample
grounding,run_20260520_204251_unknown_0ae208b6,baseline_s_rr -> baseline_s_rr_grounded,baseline_s_rr,baseline_s_rr_grounded,625,80.0208,78.3888,-1.632,0.124229,False,85.2784,87.856,2.5776,0.066183,False,95.0432,96.848,1.8048,0.007404,True,94.3488,95.7584,1.4096,0.013928,True,83.2528,81.7408,-1.512,0.025339,True,79.04,77.76,-1.28,95.68,96.16,0.48,84.48,84.96,0.48,17.6,12.64,-4.96,2.72,3.2,0.48,17.12,19.68,2.56,1.28,0.64,-0.64,0.32,4.32,4.0,627.52,627.52,0.0,0.0,1052.4,1637.27,584.87,55.57,per_sample
grounding,run_20260520_204251_unknown_0ae208b6,optimized_s_rr -> optimized_s_rr_grounded,optimized_s_rr,optimized_s_rr_grounded,625,77.136,77.1088,-0.0272,0.921066,False,83.136,86.9936,3.8576,0.000909,True,94.9888,96.5024,1.5136,0.031097,True,93.568,94.0896,0.5216,0.492146,False,81.3696,80.2352,-1.1344,0.283087,False,76.8,75.84,-0.96,95.2,94.4,-0.8,82.56,83.36,0.8,18.56,13.76,-4.8,3.04,4.8,1.76,18.56,19.04,0.48,2.08,1.44,-0.64,1.92,4.0,2.08,535.61,535.61,0.0,0.0,1289.5,1188.21,-101.29,-7.85,per_sample
grounding,run_20260520_225042_unknown_1e8f339e,baseline_s_rr -> baseline_s_rr_grounded,baseline_s_rr,baseline_s_rr_grounded,625,78.9104,77.8608,-1.0496,0.16534,False,84.984,87.7728,2.7888,0.063209,False,93.848,97.528,3.68,0.0,True,94.032,96.2048,2.1728,0.000564,True,82.3408,81.4784,-0.8624,0.355905,False,78.4,77.76,-0.64,95.68,96.8,1.12,83.04,85.44,2.4,16.8,12.48,-4.32,1.28,2.56,1.28,17.6,19.2,1.6,1.44,0.64,-0.8,1.12,3.52,2.4,627.52,627.52,0.0,0.0,1061.68,1644.02,582.34,54.85,per_sample
grounding,run_20260520_225042_unknown_1e8f339e,optimized_s_rr -> optimized_s_rr_grounded,optimized_s_rr,optimized_s_rr_grounded,625,77.1456,77.2336,0.088,0.969734,False,83.488,86.3296,2.8416,0.050758,False,94.8416,95.6928,0.8512,0.169975,False,94.9552,95.648,0.6928,0.371182,False,81.0608,80.4624,-0.5984,0.508108,False,76.48,76.48,0.0,96.64,96.8,0.16,82.08,82.88,0.8,18.56,15.04,-3.52,2.56,2.72,0.16,20.32,20.64,0.32,0.64,0.32,-0.32,0.96,5.28,4.32,535.61,535.61,0.0,0.0,1294.13,1185.4,-108.73,-8.4,per_sample
grounding,run_20260521_005823_unknown_4818b378,baseline_s_rr -> baseline_s_rr_grounded,baseline_s_rr,baseline_s_rr_grounded,625,78.9424,77.7616,-1.1808,0.587549,False,84.0096,86.1712,2.1616,0.091647,False,94.9104,96.6832,1.7728,0.0093,True,94.712,96.208,1.496,0.029008,True,82.432,81.04,-1.392,0.254226,False,78.72,77.12,-1.6,96.64,96.96,0.32,83.84,83.84,0.0,18.08,13.28,-4.8,2.08,2.24,0.16,18.08,21.12,3.04,0.8,0.16,-0.64,0.48,5.76,5.28,627.52,627.52,0.0,0.0,1053.95,1652.58,598.63,56.8,per_sample
grounding,run_20260521_005823_unknown_4818b378,optimized_s_rr -> optimized_s_rr_grounded,optimized_s_rr,optimized_s_rr_grounded,625,76.9536,76.8688,-0.0848,0.667285,False,83.0432,85.88,2.8368,0.056066,False,94.7008,96.472,1.7712,0.012624,True,93.28,93.696,0.416,0.672475,False,80.6832,80.4224,-0.2608,0.917767,False,76.32,76.0,-0.32,94.24,95.04,0.8,82.08,83.36,1.28,18.88,14.4,-4.48,3.52,4.0,0.48,18.08,19.52,1.44,2.72,1.28,-1.44,0.8,3.2,2.4,535.61,535.61,0.0,0.0,1287.31,1188.85,-98.46,-7.65,per_sample
grounding,run_20260521_031645_unknown_ecfe2405,baseline_s_rr -> baseline_s_rr_grounded,baseline_s_rr,baseline_s_rr_grounded,625,78.288,76.4688,-1.8192,0.225756,False,83.824,86.1472,2.3232,0.049364,True,95.1376,96.1664,1.0288,0.115135,False,95.0256,95.2528,0.2272,0.534436,False,82.112,80.1312,-1.9808,0.009455,True,78.08,76.32,-1.76,96.16,95.84,-0.32,81.76,84.0,2.24,17.76,14.08,-3.68,2.4,1.92,-0.48,18.56,20.16,1.6,1.28,0.64,-0.64,0.32,4.8,4.48,627.52,627.52,0.0,0.0,1050.72,1650.72,600.0,57.1,per_sample
grounding,run_20260521_031645_unknown_ecfe2405,optimized_s_rr -> optimized_s_rr_grounded,optimized_s_rr,optimized_s_rr_grounded,625,76.3616,77.3856,1.024,0.645156,False,82.6544,85.6576,3.0032,0.062673,False,94.1488,96.384,2.2352,0.003946,True,92.9008,94.696,1.7952,0.032992,True,80.1888,80.6224,0.4336,0.945045,False,75.52,76.32,0.8,94.24,95.84,1.6,81.92,83.84,1.92,18.56,15.04,-3.52,3.36,1.92,-1.44,19.04,19.84,0.8,2.08,1.44,-0.64,0.64,2.88,2.24,535.61,535.61,0.0,0.0,1298.92,1197.93,-100.99,-7.77,per_sample
