effect,run_id,pair_group,left_config,right_config,n_paired_completed,left_correctness_mean,right_correctness_mean,delta_correctness_mean,delta_correctness_wilcoxon_p,delta_correctness_sig,left_faithfulness_mean,right_faithfulness_mean,delta_faithfulness_mean,delta_faithfulness_wilcoxon_p,delta_faithfulness_sig,left_answer_relevance_mean,right_answer_relevance_mean,delta_answer_relevance_mean,delta_answer_relevance_wilcoxon_p,delta_answer_relevance_sig,left_context_support_mean,right_context_support_mean,delta_context_support_mean,delta_context_support_wilcoxon_p,delta_context_support_sig,left_overall_mean,right_overall_mean,delta_overall_mean,delta_overall_wilcoxon_p,delta_overall_sig,left_answer_accuracy_mean,right_answer_accuracy_mean,delta_answer_accuracy_mean,left_context_sufficiency_rate_mean,right_context_sufficiency_rate_mean,delta_context_sufficiency_rate_mean,left_faithfulness_rate_mean,right_faithfulness_rate_mean,delta_faithfulness_rate_mean,left_contradiction_rate_mean,right_contradiction_rate_mean,delta_contradiction_rate_mean,left_retrieval_failure_rate_mean,right_retrieval_failure_rate_mean,delta_retrieval_failure_rate_mean,left_generation_failure_rate_mean,right_generation_failure_rate_mean,delta_generation_failure_rate_mean,left_overconfidence_rate_mean,right_overconfidence_rate_mean,delta_overconfidence_rate_mean,left_false_refusal_rate_mean,right_false_refusal_rate_mean,delta_false_refusal_rate_mean,left_context_tokens_est_mean,right_context_tokens_est_mean,delta_context_tokens_est_mean,delta_context_tokens_est_pct,left_latency_ms_mean,right_latency_ms_mean,delta_latency_ms_mean,delta_latency_ratio_pct,latency_source
reranking,run_20260520_181009_unknown_75120177,baseline_s -> baseline_s_rr,baseline_s,baseline_s_rr,625,72.4912,79.3536,6.8624,2.1e-05,True,80.8272,84.6272,3.8,0.006035,True,92.9568,94.3968,1.44,0.068483,False,88.144,94.7712,6.6272,0.0,True,76.1088,82.7104,6.6016,0.0,True,71.52,78.88,7.36,90.24,95.68,5.44,76.32,83.52,7.2,21.6,17.92,-3.68,6.56,3.36,-3.2,20.16,16.96,-3.2,3.2,0.8,-2.4,1.44,0.48,-0.96,610.47,627.52,17.05,2.79,924.0,1051.6,127.6,13.81,per_sample
reranking,run_20260520_181009_unknown_75120177,optimized_s -> optimized_s_rr,optimized_s,optimized_s_rr,625,71.4048,76.5408,5.136,0.00281,True,80.8896,82.9376,2.048,0.141236,False,93.2352,94.1056,0.8704,0.316887,False,89.8944,93.824,3.9296,0.000219,True,75.7376,80.6832,4.9456,1.9e-05,True,70.4,76.16,5.76,91.36,95.04,3.68,79.04,82.88,3.84,20.32,18.88,-1.44,6.72,3.04,-3.68,21.6,19.04,-2.56,1.92,1.92,0.0,1.12,0.8,-0.32,535.69,535.61,-0.08,-0.01,1167.0,1289.2,122.2,10.47,per_sample
reranking,run_20260520_204251_unknown_0ae208b6,baseline_s -> baseline_s_rr,baseline_s,baseline_s_rr,625,73.048,80.0208,6.9728,1e-06,True,79.9664,85.2784,5.312,0.000439,True,92.3648,95.0432,2.6784,0.002712,True,87.8384,94.3488,6.5104,0.0,True,77.28,83.2528,5.9728,3e-06,True,72.32,79.04,6.72,88.64,95.68,7.04,76.8,84.48,7.68,19.84,17.6,-2.24,7.36,2.72,-4.64,17.6,17.12,-0.48,4.32,1.28,-3.04,2.08,0.32,-1.76,610.47,627.52,17.05,2.79,915.87,1052.4,136.53,14.91,per_sample
reranking,run_20260520_204251_unknown_0ae208b6,optimized_s -> optimized_s_rr,optimized_s,optimized_s_rr,625,70.9088,77.136,6.2272,4.4e-05,True,80.448,83.136,2.688,0.123802,False,92.0832,94.9888,2.9056,0.000411,True,87.7888,93.568,5.7792,0.0,True,75.4096,81.3696,5.96,2e-06,True,69.92,76.8,6.88,89.92,95.2,5.28,77.92,82.56,4.64,18.88,18.56,-0.32,6.56,3.04,-3.52,20.48,18.56,-1.92,2.4,2.08,-0.32,1.12,1.92,0.8,535.69,535.61,-0.08,-0.01,1164.96,1289.5,124.54,10.69,per_sample
reranking,run_20260520_225042_unknown_1e8f339e,baseline_s -> baseline_s_rr,baseline_s,baseline_s_rr,625,73.0144,78.9104,5.896,0.000112,True,79.8672,84.984,5.1168,0.000142,True,91.3344,93.848,2.5136,0.005314,True,89.464,94.032,4.568,1e-06,True,76.7952,82.3408,5.5456,0.0,True,72.0,78.4,6.4,91.68,95.68,4.0,79.52,83.04,3.52,18.56,16.8,-1.76,4.8,1.28,-3.52,20.64,17.6,-3.04,2.4,1.44,-0.96,1.92,1.12,-0.8,610.47,627.52,17.05,2.79,924.97,1061.68,136.71,14.78,per_sample
reranking,run_20260520_225042_unknown_1e8f339e,optimized_s -> optimized_s_rr,optimized_s,optimized_s_rr,625,70.3808,77.1456,6.7648,1.3e-05,True,79.6992,83.488,3.7888,0.00547,True,93.456,94.8416,1.3856,0.112568,False,88.2,94.9552,6.7552,0.0,True,75.04,81.0608,6.0208,0.0,True,69.76,76.48,6.72,89.92,96.64,6.72,76.64,82.08,5.44,18.56,18.56,0.0,5.28,2.56,-2.72,21.6,20.32,-1.28,2.4,0.64,-1.76,1.12,0.96,-0.16,535.69,535.61,-0.08,-0.01,1169.12,1294.13,125.01,10.69,per_sample
reranking,run_20260521_005823_unknown_4818b378,baseline_s -> baseline_s_rr,baseline_s,baseline_s_rr,625,72.7104,78.9424,6.232,0.000107,True,78.6128,84.0096,5.3968,0.000275,True,91.7312,94.9104,3.1792,0.000356,True,88.1408,94.712,6.5712,0.0,True,76.3744,82.432,6.0576,3e-06,True,71.84,78.72,6.88,89.44,96.64,7.2,76.0,83.84,7.84,19.04,18.08,-0.96,6.88,2.08,-4.8,18.88,18.08,-0.8,3.36,0.8,-2.56,2.56,0.48,-2.08,610.47,627.52,17.05,2.79,913.27,1053.95,140.68,15.4,per_sample
reranking,run_20260521_005823_unknown_4818b378,optimized_s -> optimized_s_rr,optimized_s,optimized_s_rr,625,70.1344,76.9536,6.8192,5.3e-05,True,79.256,83.0432,3.7872,0.015129,True,91.6672,94.7008,3.0336,0.000104,True,87.7664,93.28,5.5136,1e-06,True,74.9136,80.6832,5.7696,8e-06,True,68.96,76.32,7.36,88.64,94.24,5.6,76.96,82.08,5.12,20.64,18.88,-1.76,6.88,3.52,-3.36,20.16,18.08,-2.08,3.36,2.72,-0.64,0.48,0.8,0.32,535.69,535.61,-0.08,-0.01,1174.82,1287.31,112.49,9.58,per_sample
reranking,run_20260521_031645_unknown_ecfe2405,baseline_s -> baseline_s_rr,baseline_s,baseline_s_rr,625,71.9152,78.288,6.3728,0.000178,True,79.4656,83.824,4.3584,0.004962,True,92.4432,95.1376,2.6944,0.000891,True,88.0304,95.0256,6.9952,0.0,True,75.9536,82.112,6.1584,1e-06,True,71.04,78.08,7.04,90.24,96.16,5.92,76.96,81.76,4.8,21.12,17.76,-3.36,6.08,2.4,-3.68,19.68,18.56,-1.12,3.84,1.28,-2.56,0.96,0.32,-0.64,610.47,627.52,17.05,2.79,915.96,1050.72,134.76,14.71,per_sample
reranking,run_20260521_031645_unknown_ecfe2405,optimized_s -> optimized_s_rr,optimized_s,optimized_s_rr,625,70.048,76.3616,6.3136,9e-05,True,80.208,82.6544,2.4464,0.071071,False,92.4736,94.1488,1.6752,0.029557,True,88.496,92.9008,4.4048,0.000122,True,74.512,80.1888,5.6768,8e-06,True,69.12,75.52,6.4,89.92,94.24,4.32,79.04,81.92,2.88,19.52,18.56,-0.96,7.04,3.36,-3.68,21.28,19.04,-2.24,3.52,2.08,-1.44,1.12,0.64,-0.48,535.69,535.61,-0.08,-0.01,1171.96,1298.92,126.96,10.83,per_sample
